country,landmass,zone,area,population,language,bars,stripes,colors,r,g,b,gold,white,black,mainhue,circles,crosses,class
Afghanistan,5,1,648,16,10,0,3,5,1,1,0,1,1,1,green,0,0,muslim
Albania,3,1,29,3,6,0,0,3,1,0,0,1,0,1,red,0,0,marxist
Algeria,4,1,2388,20,8,2,0,3,1,1,0,0,1,0,green,0,0,muslim
American-Samoa,6,3,0,0,1,0,0,5,1,0,1,1,1,0,blue,0,0,christian
Andorra,3,1,0,0,6,3,0,3,1,0,1,1,0,0,gold,0,0,catholic
Angola,4,2,1247,7,10,0,2,3,1,0,0,1,0,1,red,0,0,ethnic
Anguilla,1,4,0,0,1,0,1,3,0,0,1,0,1,0,white,0,0,christian
Antigua-Barbuda,1,4,0,0,1,0,1,5,1,0,1,1,1,1,red,0,0,christian
Argentina,2,3,2777,28,2,0,3,2,0,0,1,0,1,0,blue,0,0,catholic
Argentine,2,3,2777,28,2,0,3,3,0,0,1,1,1,0,blue,0,0,catholic
Australia,6,2,7690,15,1,0,0,3,1,0,1,0,1,0,blue,0,1,christian
Austria,3,1,84,8,4,0,3,2,1,0,0,0,1,0,red,0,0,catholic
Bahamas,1,4,19,0,1,0,3,3,0,0,1,1,0,1,blue,0,0,christian
Bahrain,5,1,1,0,8,0,0,2,1,0,0,0,1,0,red,0,0,muslim
Bangladesh,5,1,143,90,6,0,0,2,1,1,0,0,0,0,green,1,0,muslim
Barbados,1,4,0,0,1,3,0,3,0,0,1,1,0,1,blue,0,0,christian
Belgium,3,1,31,10,6,3,0,3,1,0,0,1,0,1,gold,0,0,catholic
Belize,1,4,23,0,1,0,2,8,1,1,1,1,1,1,blue,1,0,christian
Benin,4,1,113,3,3,0,0,2,1,1,0,0,0,0,green,0,0,ethnic
Bermuda,1,4,0,0,1,0,0,6,1,1,1,1,1,1,red,1,1,christian
Bhutan,5,1,47,1,10,0,0,4,1,0,0,0,1,1,orange,4,0,buddhist
Bolivia,2,3,1099,6,2,0,3,3,1,1,0,1,0,0,red,0,0,catholic
Botswana,4,2,600,1,10,0,5,3,0,0,1,0,1,1,blue,0,0,ethnic
Brazil,2,3,8512,119,6,0,0,4,0,1,1,1,1,0,green,1,0,catholic
British-Virgin-Isles,1,4,0,0,1,0,0,6,1,1,1,1,1,0,blue,0,1,christian
Brunei,5,1,6,0,10,0,0,4,1,0,0,1,1,1,gold,0,0,muslim
Bulgaria,3,1,111,9,5,0,3,5,1,1,1,1,1,0,red,0,0,marxist
Burkina,4,4,274,7,3,0,2,3,1,1,0,1,0,0,red,0,0,ethnic
Burma,5,1,678,35,10,0,0,3,1,0,1,0,1,0,red,0,0,buddhist
Burundi,4,2,28,4,10,0,0,3,1,1,0,0,1,0,red,1,0,ethnic
Cameroon,4,1,474,8,3,3,0,3,1,1,0,1,0,0,gold,0,0,christian
Canada,1,4,9976,24,1,2,0,2,1,0,0,0,1,0,red,0,0,christian
Cape-Verde-Islands,4,4,4,0,6,1,2,5,1,1,0,1,0,1,gold,0,0,catholic
Cayman-Islands,1,4,0,0,1,0,0,6,1,1,1,1,1,0,blue,1,1,christian
Central-African-Republic,4,1,623,2,10,1,0,5,1,1,1,1,1,0,gold,0,0,ethnic
Chad,4,1,1284,4,3,3,0,3,1,0,1,1,0,0,gold,0,0,ethnic
Chile,2,3,757,11,2,0,2,3,1,0,1,0,1,0,red,0,0,catholic
China,5,1,9561,1008,7,0,0,2,1,0,0,1,0,0,red,0,0,marxist
Colombia,2,4,1139,28,2,0,3,3,1,0,1,1,0,0,gold,0,0,catholic
Comorro-Islands,4,2,2,0,3,0,0,2,0,1,0,0,1,0,green,0,0,muslim
Congo,4,2,342,2,10,0,0,3,1,1,0,1,0,0,red,0,0,ethnic
Cook-Islands,6,3,0,0,1,0,0,4,1,0,1,0,1,0,blue,1,1,christian
Costa-Rica,1,4,51,2,2,0,5,3,1,0,1,0,1,0,blue,0,0,catholic
Cuba,1,4,115,10,2,0,5,3,1,0,1,0,1,0,blue,0,0,marxist
Cyprus,3,1,9,1,6,0,0,3,0,1,0,1,1,0,white,0,0,christian
Czechoslovakia,3,1,128,15,5,0,0,3,1,0,1,0,1,0,white,0,0,marxist
Denmark,3,1,43,5,6,0,0,2,1,0,0,0,1,0,red,0,1,christian
Djibouti,4,1,22,0,3,0,0,4,1,1,1,0,1,0,blue,0,0,muslim
Dominica,1,4,0,0,1,0,0,6,1,1,1,1,1,1,green,1,0,christian
Dominican-Republic,1,4,49,6,2,0,0,3,1,0,1,0,1,0,blue,0,1,catholic
Ecuador,2,3,284,8,2,0,3,3,1,0,1,1,0,0,gold,0,0,catholic
Egypt,4,1,1001,47,8,0,3,4,1,0,0,1,1,1,black,0,0,muslim
El-Salvador,1,4,21,5,2,0,3,2,0,0,1,0,1,0,blue,0,0,catholic
Equatorial-Guinea,4,1,28,0,10,0,3,4,1,1,1,0,1,0,green,0,0,ethnic
Ethiopia,4,1,1222,31,10,0,3,3,1,1,0,1,0,0,green,0,0,christian
Faeroes,3,4,1,0,6,0,0,3,1,0,1,0,1,0,white,0,1,christian
Falklands-Malvinas,2,3,12,0,1,0,0,6,1,1,1,1,1,0,blue,1,1,christian
Fiji,6,2,18,1,1,0,0,7,1,1,1,1,1,0,blue,0,2,christian
Finland,3,1,337,5,9,0,0,2,0,0,1,0,1,0,white,0,1,christian
France,3,1,547,54,3,3,0,3,1,0,1,0,1,0,white,0,0,catholic
French-Guiana,2,4,91,0,3,3,0,3,1,0,1,0,1,0,white,0,0,catholic
French-Polynesia,6,3,4,0,3,0,3,5,1,0,1,1,1,1,red,1,0,catholic
Gabon,4,2,268,1,10,0,3,3,0,1,1,1,0,0,green,0,0,ethnic
Gambia,4,4,10,1,1,0,5,4,1,1,1,0,1,0,red,0,0,ethnic
Germany-DDR,3,1,108,17,4,0,3,3,1,0,0,1,0,1,gold,0,0,marxist
Germany-FRG,3,1,249,61,4,0,3,3,1,0,0,1,0,1,black,0,0,christian
Ghana,4,4,239,14,1,0,3,4,1,1,0,1,0,1,red,0,0,ethnic
Gibraltar,3,4,0,0,1,0,1,3,1,0,0,1,1,0,white,0,0,christian
Greece,3,1,132,10,6,0,9,2,0,0,1,0,1,0,blue,0,1,christian
Greenland,1,4,2176,0,6,0,0,2,1,0,0,0,1,0,white,1,0,christian
Grenada,1,4,0,0,1,0,0,3,1,1,0,1,0,0,gold,1,0,christian
Guam,6,1,0,0,1,0,0,7,1,1,1,1,1,0,blue,0,0,christian
Guatemala,1,4,109,8,2,3,0,2,0,0,1,0,1,0,blue,0,0,catholic
Guinea,4,4,246,6,3,3,0,3,1,1,0,1,0,0,gold,0,0,muslim
Guinea-Bissau,4,4,36,1,6,1,2,4,1,1,0,1,0,1,gold,0,0,ethnic
Guyana,2,4,215,1,1,0,0,5,1,1,0,1,1,1,green,0,0,hindu
Haiti,1,4,28,6,3,2,0,2,1,0,0,0,0,1,black,0,0,catholic
Honduras,1,4,112,4,2,0,3,2,0,0,1,0,1,0,blue,0,0,catholic
Hong-Kong,5,1,1,5,7,0,0,6,1,1,1,1,1,0,blue,1,1,buddhist
Hungary,3,1,93,11,9,0,3,3,1,1,0,0,1,0,red,0,0,marxist
Iceland,3,4,103,0,6,0,0,3,1,0,1,0,1,0,blue,0,1,christian
India,5,1,3268,684,6,0,3,4,0,1,1,0,1,0,orange,1,0,hindu
Indonesia,6,2,1904,157,10,0,2,2,1,0,0,0,1,0,red,0,0,muslim
Iran,5,1,1648,39,6,0,3,3,1,1,0,0,1,0,red,0,0,muslim
Iraq,5,1,435,14,8,0,3,4,1,1,0,0,1,1,red,0,0,muslim
Ireland,3,4,70,3,1,3,0,3,0,1,0,0,1,0,white,0,0,catholic
Israel,5,1,21,4,10,0,2,2,0,0,1,0,1,0,white,0,0,others
Italy,3,1,301,57,6,3,0,3,1,1,0,0,1,0,white,0,0,catholic
Ivory-Coast,4,4,323,7,3,3,0,3,1,1,0,0,1,0,white,0,0,ethnic
Jamaica,1,4,11,2,1,0,0,3,0,1,0,1,0,1,green,0,0,christian
Japan,5,1,372,118,9,0,0,2,1,0,0,0,1,0,white,1,0,others
Jordan,5,1,98,2,8,0,3,4,1,1,0,0,1,1,black,0,0,muslim
Kampuchea,5,1,181,6,10,0,0,2,1,0,0,1,0,0,red,0,0,buddhist
